Total Size (X, Y): 90 x 90
Robot 1 Starting Point: 26, 11
Robot 2 Starting Point: 4, 1
Meeting Point: 90, 67
 Calculating Path for Robot 1
Considering Position <10, 24> at step 1
Considering Position <11, 24> at step 2
Considering Position <10, 23> at step 2
Considering Position <12, 24> at step 3
Considering Position <13, 24> at step 4
Considering Position <12, 25> at step 4
Considering Position <12, 23> at step 4
Considering Position <13, 23> at step 5
Considering Position <12, 26> at step 6
Considering Position <12, 27> at step 7
Considering Position <11, 26> at step 7
Considering Position <9, 23> at step 8
Considering Position <10, 22> at step 8
Considering Position <13, 27> at step 9
Considering Position <12, 28> at step 9
Considering Position <14, 27> at step 10
Considering Position <12, 29> at step 11
Considering Position <15, 27> at step 12
Considering Position <14, 28> at step 12
Considering Position <14, 26> at step 12
Considering Position <13, 29> at step 13
Considering Position <12, 30> at step 13
Considering Position <11, 29> at step 13
Considering Position <13, 30> at step 14
Considering Position <12, 31> at step 14
Considering Position <15, 28> at step 15
Considering Position <15, 26> at step 15
Considering Position <12, 32> at step 16
Considering Position <11, 31> at step 16
Considering Position <15, 29> at step 17
Considering Position <14, 28> at step 17
Considering Position <12, 33> at step 18
Considering Position <16, 29> at step 19
Considering Position <15, 30> at step 19
Considering Position <13, 33> at step 20
Considering Position <12, 34> at step 20
Considering Position <13, 23> at step 22
Considering Position <12, 22> at step 22
Considering Position <14, 23> at step 23
Considering Position <13, 29> at step 24
Considering Position <17, 29> at step 29
Considering Position <15, 26> at step 30
Considering Position <10, 29> at step 31
Considering Position <8, 23> at step 32
Considering Position <9, 22> at step 32
Considering Position <18, 29> at step 33
Considering Position <17, 30> at step 33
Considering Position <17, 28> at step 33
Considering Position <9, 22> at step 34
Considering Position <13, 34> at step 35
Considering Position <12, 35> at step 35
Considering Position <11, 34> at step 35
Considering Position <14, 33> at step 36
Considering Position <13, 34> at step 36
Considering Position <12, 36> at step 37
Considering Position <15, 33> at step 38
Considering Position <14, 32> at step 38
Considering Position <12, 37> at step 39
Considering Position <11, 36> at step 39
Considering Position <15, 34> at step 40
Considering Position <15, 32> at step 40
Considering Position <13, 37> at step 41
Considering Position <12, 38> at step 41
Considering Position <18, 30> at step 42
Considering Position <17, 31> at step 42
Considering Position <18, 30> at step 43
Considering Position <18, 28> at step 43
Considering Position <15, 23> at step 45
Considering Position <14, 22> at step 45
Considering Position <17, 32> at step 46
Considering Position <16, 31> at step 46
Considering Position <15, 24> at step 47
Considering Position <15, 22> at step 47
Considering Position <16, 24> at step 48
Considering Position <15, 25> at step 48
Considering Position <15, 26> at step 49
Considering Position <12, 21> at step 50
Considering Position <10, 34> at step 51
Considering Position <16, 34> at step 52
Considering Position <15, 35> at step 52
Considering Position <8, 22> at step 53
Considering Position <9, 21> at step 53
Considering Position <17, 24> at step 54
Considering Position <17, 34> at step 55
Considering Position <15, 36> at step 56
Considering Position <18, 24> at step 57
Considering Position <17, 25> at step 57
Considering Position <18, 34> at step 58
Considering Position <17, 35> at step 58
Considering Position <16, 36> at step 59
Considering Position <15, 37> at step 59
Considering Position <14, 36> at step 59
Considering Position <18, 35> at step 60
Considering Position <17, 36> at step 60
Considering Position <17, 36> at step 61
Considering Position <15, 38> at step 62
Considering Position <14, 37> at step 62
Considering Position <18, 25> at step 63
Considering Position <18, 23> at step 63
Considering Position <18, 25> at step 64
Considering Position <17, 26> at step 64
Considering Position <17, 27> at step 66
Considering Position <16, 26> at step 66
Considering Position <12, 39> at step 67
Considering Position <15, 22> at step 68
Considering Position <14, 21> at step 68
Considering Position <13, 39> at step 69
Considering Position <12, 40> at step 69
Considering Position <11, 39> at step 69
Considering Position <18, 32> at step 70
Considering Position <13, 40> at step 71
Considering Position <13, 40> at step 72
Considering Position <12, 41> at step 72
Considering Position <19, 32> at step 73
Considering Position <18, 33> at step 73
Considering Position <8, 24> at step 74
Considering Position <8, 22> at step 74
Considering Position <20, 32> at step 75
Considering Position <19, 33> at step 75
Considering Position <19, 31> at step 75
Considering Position <19, 33> at step 76
Considering Position <18, 34> at step 76
Considering Position <16, 26> at step 77
Considering Position <14, 37> at step 78
Considering Position <14, 38> at step 80
Considering Position <14, 36> at step 80
Considering Position <15, 38> at step 81
Considering Position <18, 28> at step 83
Considering Position <17, 27> at step 83
Considering Position <19, 28> at step 84
Considering Position <18, 27> at step 84
Considering Position <20, 33> at step 86
Considering Position <20, 33> at step 87
Considering Position <15, 39> at step 88
Considering Position <20, 34> at step 89
Considering Position <16, 39> at step 90
Considering Position <15, 40> at step 90
Considering Position <21, 34> at step 91
Considering Position <20, 35> at step 91
Considering Position <17, 39> at step 92
Considering Position <12, 42> at step 95
Considering Position <11, 41> at step 95
Considering Position <14, 32> at step 96
Considering Position <12, 43> at step 97
Considering Position <14, 31> at step 98
Considering Position <13, 43> at step 99
Considering Position <12, 44> at step 99
Considering Position <8, 25> at step 100
Considering Position <7, 24> at step 100
Considering Position <17, 37> at step 101
Considering Position <7, 25> at step 102
Considering Position <18, 37> at step 103
Considering Position <17, 38> at step 103
Considering Position <18, 27> at step 104
Considering Position <19, 37> at step 105
Considering Position <18, 38> at step 105
Considering Position <18, 34> at step 106
Considering Position <19, 27> at step 109
Considering Position <18, 38> at step 110
Considering Position <17, 39> at step 110
Considering Position <20, 27> at step 111
Considering Position <19, 28> at step 111
Considering Position <19, 26> at step 111
Considering Position <10, 30> at step 113
Considering Position <10, 28> at step 113
Considering Position <11, 21> at step 116
Considering Position <12, 20> at step 116
Considering Position <7, 25> at step 118
Considering Position <6, 24> at step 118
Considering Position <9, 28> at step 119
Considering Position <10, 27> at step 119
Considering Position <19, 38> at step 121
Considering Position <18, 39> at step 121
Considering Position <18, 40> at step 123
Considering Position <17, 39> at step 123
Considering Position <17, 40> at step 124
Considering Position <19, 23> at step 125
Considering Position <18, 22> at step 125
Considering Position <14, 43> at step 126
Considering Position <13, 44> at step 126
Considering Position <20, 37> at step 127
Considering Position <19, 38> at step 127
Considering Position <19, 36> at step 127
Considering Position <15, 43> at step 128
Considering Position <14, 42> at step 128
Considering Position <12, 44> at step 129
Considering Position <20, 38> at step 130
Considering Position <15, 44> at step 131
Considering Position <15, 42> at step 131
Considering Position <20, 39> at step 132
Considering Position <19, 38> at step 132
Considering Position <21, 39> at step 134
Considering Position <20, 40> at step 134
Considering Position <17, 40> at step 135
Considering Position <17, 41> at step 136
Considering Position <10, 35> at step 137
Considering Position <10, 33> at step 137
Considering Position <17, 42> at step 138
Considering Position <16, 41> at step 138
Considering Position <18, 42> at step 140
Considering Position <7, 22> at step 141
Considering Position <10, 39> at step 142
Considering Position <20, 28> at step 143
Considering Position <22, 34> at step 144
Considering Position <20, 29> at step 145
Considering Position <20, 27> at step 145
Considering Position <23, 34> at step 146
Considering Position <22, 35> at step 146
Considering Position <22, 33> at step 146
Considering Position <21, 29> at step 147
Considering Position <20, 30> at step 147
Considering Position <23, 33> at step 148
Considering Position <22, 36> at step 149
Considering Position <22, 37> at step 151
Considering Position <21, 36> at step 151
Considering Position <12, 45> at step 155
Considering Position <11, 44> at step 155
Considering Position <12, 46> at step 156
Considering Position <22, 29> at step 157
Considering Position <16, 44> at step 158
Considering Position <15, 45> at step 158
Considering Position <12, 47> at step 159
Considering Position <11, 46> at step 159
Considering Position <23, 29> at step 160
Considering Position <22, 30> at step 160
Considering Position <22, 28> at step 160
Considering Position <17, 44> at step 161
Considering Position <15, 46> at step 162
Considering Position <13, 47> at step 163
Considering Position <12, 48> at step 163
Considering Position <23, 30> at step 164
Considering Position <23, 30> at step 165
Considering Position <22, 31> at step 165
Considering Position <16, 46> at step 166
Considering Position <15, 47> at step 166
Considering Position <14, 46> at step 166
Considering Position <12, 49> at step 167
Considering Position <23, 37> at step 168
Considering Position <22, 38> at step 168
Considering Position <22, 32> at step 171
Considering Position <21, 31> at step 171
Considering Position <13, 20> at step 172
Considering Position <12, 19> at step 172
Considering Position <7, 26> at step 174
Considering Position <20, 23> at step 175
Considering Position <19, 22> at step 175
Considering Position <22, 39> at step 177
Considering Position <7, 27> at step 178
Considering Position <6, 26> at step 178
Considering Position <19, 42> at step 179
Considering Position <18, 43> at step 179
Considering Position <22, 39> at step 180
Considering Position <20, 24> at step 181
Considering Position <20, 22> at step 181
Considering Position <23, 39> at step 182
Considering Position <22, 40> at step 182
Considering Position <20, 42> at step 183
Considering Position <19, 43> at step 183
Considering Position <19, 41> at step 183
Considering Position <19, 43> at step 184
Considering Position <18, 44> at step 184
Considering Position <21, 24> at step 185
Considering Position <20, 25> at step 185
Considering Position <23, 40> at step 186
Considering Position <18, 45> at step 187
Considering Position <17, 44> at step 187
Considering Position <23, 40> at step 189
Considering Position <22, 41> at step 189
Considering Position <20, 43> at step 190
Considering Position <20, 43> at step 191
Considering Position <24, 37> at step 193
Considering Position <8, 27> at step 194
Considering Position <7, 28> at step 194
Considering Position <17, 45> at step 195
Considering Position <17, 46> at step 196
Considering Position <25, 37> at step 197
Considering Position <24, 38> at step 197
Considering Position <24, 36> at step 197
Considering Position <9, 27> at step 198
Considering Position <8, 28> at step 198
Considering Position <8, 28> at step 199
Considering Position <7, 29> at step 199
Considering Position <18, 45> at step 200
Considering Position <17, 46> at step 200
Considering Position <14, 47> at step 201
Considering Position <15, 47> at step 202
Considering Position <14, 48> at step 202
Considering Position <14, 46> at step 202
Considering Position <8, 28> at step 203
Considering Position <9, 27> at step 203
Considering Position <10, 27> at step 205
Considering Position <9, 26> at step 205
Considering Position <14, 42> at step 206
Considering Position <15, 48> at step 207
Considering Position <25, 38> at step 208
Considering Position <8, 29> at step 209
Considering Position <10, 44> at step 210
Considering Position <17, 47> at step 212
Considering Position <15, 49> at step 213
Considering Position <15, 47> at step 213
Considering Position <25, 39> at step 214
Considering Position <25, 37> at step 214
Considering Position <8, 30> at step 215
Considering Position <7, 29> at step 215
Considering Position <23, 33> at step 216
Considering Position <22, 32> at step 216
Considering Position <14, 41> at step 217
Considering Position <18, 47> at step 218
Considering Position <17, 48> at step 218
Considering Position <16, 49> at step 219
Considering Position <15, 50> at step 219
Considering Position <26, 39> at step 220
Considering Position <25, 40> at step 220
Considering Position <7, 30> at step 221
Considering Position <18, 48> at step 222
Considering Position <17, 49> at step 222
Considering Position <9, 33> at step 223
Considering Position <10, 32> at step 223
Considering Position <13, 49> at step 224
Considering Position <12, 50> at step 224
Considering Position <11, 49> at step 224
Considering Position <7, 21> at step 226
Considering Position <13, 50> at step 229
Considering Position <12, 51> at step 229
Considering Position <13, 50> at step 230
Considering Position <24, 33> at step 231
Considering Position <20, 22> at step 232
Considering Position <18, 22> at step 232
Considering Position <19, 21> at step 232
Considering Position <7, 30> at step 234
Considering Position <6, 29> at step 234
Considering Position <17, 22> at step 235
Considering Position <5, 24> at step 236
Considering Position <20, 44> at step 238
Considering Position <19, 47> at step 239
Considering Position <18, 48> at step 239
Considering Position <22, 42> at step 240
Considering Position <21, 41> at step 240
Considering Position <22, 24> at step 241
Considering Position <21, 44> at step 242
Considering Position <20, 45> at step 242
Considering Position <10, 40> at step 245
Considering Position <10, 38> at step 245
Considering Position <23, 24> at step 246
Considering Position <22, 25> at step 246
Considering Position <22, 23> at step 246
Considering Position <22, 44> at step 249
Considering Position <22, 43> at step 250
Considering Position <22, 26> at step 251
Considering Position <23, 23> at step 252
Considering Position <23, 44> at step 253
Considering Position <22, 45> at step 253
Considering Position <22, 43> at step 253
Considering Position <23, 43> at step 254
Considering Position <22, 27> at step 255
Considering Position <21, 26> at step 255
Considering Position <13, 19> at step 256
Considering Position <24, 43> at step 257
Considering Position <23, 44> at step 257
Considering Position <25, 36> at step 258
Considering Position <7, 31> at step 259
Considering Position <7, 32> at step 262
Considering Position <6, 31> at step 262
Considering Position <22, 27> at step 263
Considering Position <19, 48> at step 264
Considering Position <18, 49> at step 264
Considering Position <25, 36> at step 265
Considering Position <25, 33> at step 267
Considering Position <24, 32> at step 267
Considering Position <5, 29> at step 268
Considering Position <8, 32> at step 269
Considering Position <18, 50> at step 270
Considering Position <17, 49> at step 270
Considering Position <20, 48> at step 271
Considering Position <19, 47> at step 271
Considering Position <12, 52> at step 272
Considering Position <11, 51> at step 272
Considering Position <9, 32> at step 273
Considering Position <8, 33> at step 273
Considering Position <17, 50> at step 274
Considering Position <20, 49> at step 275
Considering Position <20, 47> at step 275
Considering Position <20, 47> at step 278
Considering Position <19, 46> at step 278
Considering Position <9, 33> at step 279
Considering Position <8, 34> at step 279
Considering Position <9, 32> at step 280
Considering Position <25, 34> at step 281
Considering Position <25, 32> at step 281
Considering Position <23, 27> at step 282
Considering Position <8, 35> at step 284
Considering Position <7, 34> at step 284
Considering Position <24, 27> at step 286
Considering Position <26, 34> at step 287
Considering Position <25, 35> at step 287
Considering Position <12, 53> at step 288
Considering Position <9, 38> at step 289
Considering Position <10, 37> at step 289
Considering Position <17, 49> at step 290
Considering Position <25, 27> at step 292
Considering Position <24, 28> at step 292
Considering Position <24, 26> at step 292
Considering Position <25, 36> at step 293
Considering Position <13, 53> at step 294
Considering Position <12, 54> at step 294
